Acc no,Acc name,Br no,Credit limit,Credit time,Trade Dsc,Cash Dsc,Address,Ph. No.,FAX No.,Contact,SalesPerson
A\0070,APX SOLUTIONS (PTY) LTD,1,10000,40,25,0,30 DAY ACCOUNT,011-397 1447,086 457 5225,VERNON OLIVIER / JOHN ROSELT,RUWEIDA MODRAMOOTHOO / NS
A\0071,AMS HAVEN 201 (PTY) LTD,1,5000,10,0,0,CASH ACCOUNT,083-898 3195,,BOLAN JANKI / FREDDIE MOCKE,HOUSE / SP
A\0072,ADVANCE ARMOUR (PTY) LTD,1,2000,10,25,0,CASH ACCOUNT,072-072 0053,086-551 4747,MIKE ERUIS,HOUSE
A\0073,AL MINING TECHNICS CC,1,10000,10,25,0,CASH ACCOUNT,087-806 4904,086-659 3740,CHRISTINA,HOUSE
A\0074,AVALON BRAAIS & FIREPLACES CC,1,20000,40,30,0,30 DAY ACCOUNT,012-329 2213,086-680 5279,MARK WATT,OELOFSE RUDI / DW
A\0075,ANCHOR PAINTS & CHEMICALS CC,1,50000,40,40,0,30 DAY ACCOUNT,082-826 0246,031-463 1033,MD-KEN GOVENDAR,HOUSE
A\0076,ADX SECURITY DOORS & SAFE ENGINEERS,1,10000,10,0,0,CASH ACCOUNT,011-614 2766,011-614 0287,DOUGLAS SAUNDERS,HOUSE
A\0077,AIR ROTARY SERVICES (PTY) LTD,1,15000,40,30,0,30 DAY ACCOUNT,011 397 1447,011 397 1448,MORNE / NIKITA,HOUSE
B\0007,B P W  AXLES (PTY) LTD,1,50000,40,27.5,0,30 DAY ACCOUNT,011 680 1443 X,011 680 1829,BARBARA,HOUSE / DW
B\0022,BREEDT & VAN JAARSVELD (PTY) LTD,1,30000,40,32.5,0,30 DAY ACCOUNT,011 762 1104,011 958 2661,Peter Funk / Frikkie Prinsloo,OELOFSE RUDI / DW
B\0041,BOKSAN PROJECTS CC,1,90000,40,30,0,30 DAY ACCOUNT,011 316-2173 X,011 316-1645,LESLA / RAY KIRKLAND,HOUSE / GG / DW
B\0043,BELT BROKERS (PTY) LTD,1,65000,40,30,0,30 DAY ACCOUNT,011 845-5050,086 662 2549,HELEEN ROUX,HOUSE / DW
B\0045,BARNES WIRE INDUSTRIES,1,60000,40,30,0,30 DAY ACCOUNT,011 398-2700 X,011 974-7908,SANDY VAN DER VYFER,RUWEIDA MODRAMOOTHOO / NS
B\0052,BROOM ENGINEERING CC,1,3000,10,25,0,CASH ACCOUNT,011-792 1828,011-792 1896,RYAN BROOM,HOUSE / NS
B\0053,BELFA FIRE SOULTIONS (PTY) LTD,1,50000,100,30,0,30 DAY ACCOUNT,011-474 9100,011--474 6055,JACK WHY,RUWEIDA MODRAMOOTHOO / NS
C\0013,BOBCAT EQUIPMENT SA (PTY) LTD,1,24000,40,20,0,30 DAY ACCOUNT,011908-2377/9 X,011 908 2649,CHARMAINE VAN HEARDEN,HOUSE / DW
C\0016,CLINKER SUPPLIES (PTY) LTD,1,25000,40,25,0,30 DAY ACCOUNT,011 864-2875,011 439-3285,JOSHUA LUGULWANA,HOUSE / NS
C\0019,CRUSHPRO CC,1,25000,40,25,0,30 DAY ACCOUNT,0118731620/1/2X,086 576-9127,NERISSA KRUGER/JIMMY DANCE,HOUSE / NS
C\0031,COALMAC ENGINEERING CC,1,25000,40,20,0,30 DAY ACCOUNT,011 908 3472 X,011 908 1147,WENDY,HOUSE / DW
C\0036,CRAVO STEEL PRODUCTS (PTY) LTD,1,140000,40,35,0,30 DAY ACCOUNT,016 421 2436 X,016 455 5071,UDAI KARA/CHERYLVENTER,HOUSE / DW
C\0048,COPPER TUBING AFRICA (PTY) LTD,1,5000,40,10,0,30 DAY ACCOUNT,011 615 7193,011 615 5308,JONATHAN LYONS,HOUSE / NS
C\0083,C & S ORNAMENTAL IRON WORKS CC,1,5000,40,25,0,30 DAY ACCOUNT,011-683 3228,011-683 2740,KOOS VAN STADEN / ZETIJ,OELOFSE RUDI/RVDM/DW
C\222,CASH SALE-2017 APRIL,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
C\223,CASH SALE-2017 MAY,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
C\224,CASH SALE-2017 JUNE,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
C\225,CASH SALE-2017 JULY,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
C\226,CASH SALE-2017 AUGUST,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
C\227,CASH SALE-2017 SEPTEMBER,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
C\228,CASH SALE-2017 OCTOBER,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
C\229,CASH SALE-2017 NOVEMBER,1,10000,10,0,0,DRIVERS ARE INSTRUCTED TO ONLY,,,,HOUSE
D\0002,DIESEL FLAMEPROOF EQUIPMENT,1,15000,40,22.5,0,30 DAY ACCOUNT,011 975 7023X,011 394 2383,ANNE GIBSON,HOUSE / DW
D\0004,D&R PAINT CENTRE CC,1,20000,40,35,0,30 DAY ACCOUNT,011 794 2597 X,011 794 2512,FRED / IVY,HOUSE / NS
D\0012,KROONSTAD DEKOR 2000 CC,1,40000,40,42.5,0,30 DAY ACCOUNT,056 215 2126 X,056 213 1572,FRIK/HELOISE NAGEL,HOUSE / DW
D\0017,DORMAS (PTY) LTD,1,85000,40,35,0,30 DAY ACCOUNT,011 496 2800 X,086 671 8170,ROLLERT MUKOMA,HOUSE / GG / DW
D\0018,DUNROSE TRADING 57 (PTY) LTD,1,28000,40,25,0,30 DAY ACCOUNT,011-474 1850,086 680-0823,MONICA JACKSON,HOUSE / DW
D\0030,DRYDEN COMBUSTION CO PTY LTD,1,35000,40,30,0,30 DAY ACCOUNT,011 864 2984,086 693 9773,LIDIA LOTTERING,RUWEIDA MODRAMOOTHOO / NS
D\0040,DURRANS RMS (PTY) LTD,1,5000,40,25,0,30 DAY ACCOUNT,011-917 0702,011-917 0705,GERRIE/LINDIE VAN NIEKERK,OELOFSE RUDI / DW
E\0032,EISEN ENGINEERING (PTY) LTD,1,6000,40,30,0,30 DAY ACCOUNT,011-900 1821,011-900 4213,JOHAN ENGLEBRECHT,RUWEIDA MODRAMOOTHOO / NS
E\0033,EZZ-WELL PIPE FABRICATORS & WELDING WORKS CC,1,65000,40,25,0,30 DAY ACCOUNT,011-473 2264,011-473 2264,NAZLI,RUWEIDA MODRAMOOTHOO / NS
E\0037,EASIGAS (PTY) LTD,1,10000,40,30,0,30 DAY ACCOUNT,,,GIELJAM ROUX / CRAIG MEYER,OELOFSE RUDI / DW
E\0039,EXTRA LIGHT GROUP (PTY) LTD,1,30000,40,35,0,CASH & EXPORT A/C - NO VAT,+267-318 1512,+267-318 1509,NIKUNJ MEHTA,RUWEIDA MODRAMOOTHOO / NS
E\0041,EAST RAND ENTERPRISES,1,120000,40,0,0,30 DAY ACCOUNT,016-365 6599,086-671 6049,JACO VERWAY,HOUSE
F\0003,FIXINGS GALORE CC,1,50000,40,30,0,30 DAY ACCOUNT,011-965 6002,086 571 8589,LEANDRA / DEBBIE,FANNIE
F\0005,FLOWEX CC,1,16000,40,25,0,30 DAY ACCOUNT,011-835 1230,011-835 3355,HILLARY WEED,HOUSE / DW
F\0011,FENCING MATERIALS CC,1,80000,40,30,0,30 DAY ACCOUNT,6731130/45/46 X,011 673 1128,P.GIANNOPAULOS/COSTA COMODIKES,HOUSE / GG / NS
F\0029,FANTIQUE TRADE 869CC,1,165000,40,30,0,P O BOX 6300,011 894 6767 #,011 894 2573,Gys v d Westhuizen,OELOFSE RUDI / DW
F\0031,FRIDGETECH CC,1,100000,40,30,0,30 DAY ACCOUNT,011 974 7831,,NEIL JOHNSON / TREVOR,HOUSE / NS
F\0034,F E INDUSTRIAL SUPPLIES CC,1,5000,40,35,0,30 DAY ACCOUNT,011-894 1402,086-617 7302,PRITASH,RUWEIDA MODRAMOOTHOO / NS
F\0038,FIRE CHECK (PTY) LIMITED,1,10000,40,0,0,CASH ACCOUNT,031-579 1340,031-579 1340,AMISHA,OELOFSE RUDI / DW
G\0002,ASHFORD RETAIL EQUIPMENT CO,1,60000,10,17.5,0,CASH ACCOUNT,011 740 9143,011 740 5089,RAEL ABRAHAM,OELOFSE RUDI/RVDM/DW
G\0004,DRAM TRADING CC,1,400000,40,32.5,0,30 DAY ACCOUNT,011 660 7594,011 665 1893,MARTIN / SUSAN / MARLIZE,HOUSE / NS
G\0025,GILLESPIE DIESEL SERVICES (PTY) LTD,1,20000,40,25,0,30 DAY ACCOUNT,011-392-3065,011-392-3236,KATHRIN MALAN,HOUSE / NS
H\0001,HARMONY GOLD MINING CO LTD,1,500000,70,0,0,30 DAY ACCOUNT,011-411 2000 X,011-411 2350,JETHERINE TEYISE,TENDERS/ RM / NS
H\0002,HI-ALLOY CASTINGS,1,15000,40,20,0,30 DAY ACCOUNT,011 421 5874 X,011 422 2468,BEVERLEY HARTLIEF,HOUSE / NS
H\0005,HEATWAVE FIREPLACE INDUSTRIES CC,1,20000,40,30,0,30 DAY ACCOUNT,018-441 1051/77,018-441 1004,FANIE DU TOIT / JOB,OELOFSE RUDI/RVDM/DW
H\0006,HOT POT PAINTS (PTY) LTD,1,200000,40,41.5,0,CASH ACCOUNT,011 812 1655,011 812 1657,GERALD/SHANNON/TYRONE KALIL,HOUSE / NS
H\0024,HUDACO TRADING (PTY) LTD,1,25000,40,25,0,30 DAY ACCOUNT,861347789,011-894 6012,DONALD MACKINNON,OELOFSE RUDI / DW
H\0050,HEAT KING (PTY) LTD,1,5000,10,25,0,CASH ACCOUNT,011-791 1150,011-793 2837,NASH / MAGDA,OELOFSE RUDI / DW
I\0006,ITHUBA VALVES & IND. SUPPLIES,1,5000,40,20,0,30 DAY ACCOUNT,011 908 3760,011 864 2381,GIOVANNI CERBONE,RUWEIDA MODRAMOOTHOO / NS
I\0008,INTERNATIONAL SAFES T/A ELAC,1,5000,10,25,0,CASH ACCOUNT,011 433 9565,011 680 1467,DARRYL SCHNEEBERGER,RUWEIDA MODRAMOOTHOO / NS
I\0011,ISOSERVE PTY LTD,1,200000,40,35,0,30 DAY ACCOUNT,,,,ASSOCIATE COMPANIES
I\0021,INDUSTRIAL PRESSINGS CC,1,30000,40,25,0,30 DAY ACCOUNT,011 762 1051 X,011 762 4944,MIKE BASSON,RUWEIDA MODRAMOOTHOO / NS
J\0017,JUNGLE GYM WORLD CC,1,80000,40,30,0,30 DAY ACCOUNT,012 668 3964/5X,086-636 3072,ANDRE FERREIRA/JURGENS DELPORT,OELOFSE RUDI/RVDM/DW
J\0030,ZZ-JODUWO INDUSTRIAL TRADING CC,1,1000,10,30,0,CASH ACCOUNT,011-968 0199,086-551 6736,DAVID TOERIEN/NICOLENE TRYLER,RUWEIDA MODRAMOOTHOO/RVDM/NS
K\0002,K B I - ENGINEERING CC,1,12000,40,20,0,30 DAY ACCOUNT,011 900 1836 X,011 900 2228,DAVID METSHIHENI,HOUSE / NS
K\0004,KLAMFLEX (PTY)LTD,1,45000,40,30,0,30 DAY ACCOUNT,011762 5326/7 X,011 762 5674,HUGO LOOTS,FANNIE
K\0007,KARLE STEEL MNFG & CONSTRUC.,1,25000,40,25,0,30 DAY ACCOUNT,011 422 4637 X,011 845 2867,ANDREAS MAYER/SHANE CILLIERS,HOUSE / DW
K\0008,KWALTA PAINTS CC,1,505000,40,32.5,0,30 DAY ACCOUNT,018-464-1896 X,018-462-3472,ALFONS SWANEPOEL,OELOFSE RUDI / DW
K\0010,DONALDSON FILTRATION SYSTEMS (PTY) LTD,1,140000,40,20,0,30 DAY ACCOUNT,011 439 3180,011 908 3434,LYNN HUGHES,RUWEIDA MODRAMOOTHOO / NS
K\0024,KARMAN VIBRATING TECHNOLOGIES CC,1,5000,40,25,0,30 DAY ACCOUNT,011-704 6642,011-616 0736,TALITA PEACOCK,RUWEIDA MODRAMOOTHOO / NS
K\0025,"KILOTON HYDRAULICS, PNEUMATICS, TOOLS & ABRASIVES (PTY) LTD",1,5000,40,25,0,30 DAY ACCOUNT,016-100 4150,016-100 5001,WILLEM LOOTS,OELOFSE RUDI / DW
K\0029,KAP DIVERSEIFIED INDUSTRIAL (PTY) LTD,1,10000,40,0,0,30 DAY ACCOUNT,011-389 8800,,ELNA PARKER,RUWEIDA MODRAMOOTHOO / NS
K\0030,KAGO KE THEBE TRADING & PROJECTS (PTY) LTD,1,80000,40,40,0,30 DAY ACCOUNT,063-736 6685,086-450 5800,ANDRIES TOKOLOGO MOKOTONG,HOUSE
L\0024,LT STRUCTURAL (PTY) LTD,1,15000,10,30,0,CASH ACCOUNT,011-762 1070,086-243 5635,JACO ERASMUS / ANDREW,RUWEIDA MODRAMOOTHOO / NS
L\0025,LETRALITH PRINTERS CC,1,20000,40,30,0,30 DAY ACCOUNT,011-907 1810/12,011-869 9902,COLIN DAVEY,HOUSE
M\0009,M & P BODIES CC,1,20000,40,25,0,30 DAY ACCOUNT,011 8681140 X,086 500 3911,CHRISTA VAN RHYN,HOUSE / NS
M\0015,MELCO CONVEYOR EQUIPMENT (PTY) LTD,1,800000,40,30,0,P O BOX 131,011 825 3520 X,011 825 3592,MELANIE MURUGAN / CLEMINTINE,HOUSE / NS
M\0023,MIS ENGINEERING (PTY) LTD,1,100000,40,30,0,30 DAY ACCOUNT,011 908 1696 X,011 908 2542,DIANNE FOURIE,RUWEIDA MODRAMOOTHOO / NS
M\0027,MECH AFRICA  PROJECTS (PTY) LTD,1,17000,40,20,0,30 DAY ACCOUNT,011 869 1107,086 638 6569,JOHN VIEIRA,RUWEIDA MODRAMOOTHOO / NS
M\0065,MACSTEEL TUBE & PIPE (PTY) LTD,1,20000,40,27.5,0,P.O.BOX 13640,011-897 2100,011-826-6333,NATHALIE WAGNER-BUYER,OELOFSE RUDI / DW
M\0066,MED CRAFT TECH CC,1,10000,40,20,0,30 DAY ACCOUNT,011 389 2909/10,011 389 2912,SOHNE RICHARDS,OELOFSE RUDI / DW
M\0070,M&Z CASH & CARRY,1,5000,10,35,0,CASH ACCOUNT,013-282 5097,013-282 5097,ISMAIL N. PARKER,OELOFSE RUDI / DW
M\0076,MKHULU E.D.P (PTY) LTD,1,2000,40,10,0,CASH ACCOUNT,011-814 4169,011-814 8149,MARCELLO / CHARITY,RUWEIDA MODRAMOOTHOO / NS
N\0003,NFS INDUST. MACHINERY (PTY)LTD,1,15000,40,25,0,30 DAY ACCOUNT,011 623 1733 X,086 684 1704,A.CHALMERS / PERAY MTHETHI,HOUSE / SP
N\0009,NASA ENGINEERING CC,1,25000,40,20,0,30 DAY ACCOUNT,011 908 4534 X,011 908 4537,MARLENE VAN WYK-SENIOR BUYER,HOUSE / NS
N\0014,NANCY ENGINEERING,1,80000,40,30,0,30 DAY ACCOUNT,011 493 1585 X,011 493 1564,LAURA KHAMBULE,HOUSE / DW
N\0015,NOTOS CLEANING SERVICES CC,1,2000,10,15,0,CASH ACCOUNT,011 864-1888,011 864-6978,JOHN MORAJANA,HOUSE / NS
N\0016,NEW LOCAL MOTOR SPARES CC,1,60000,40,37.5,0,30 DAY ACCOUNT,011-907 9086,011-869 0010,CLINT GERMANUS/FABIAN SHADRACH,HOUSE / SP
N\0017,NEW WARE WINDING SERVICES & SUPPLIES LTD,1,10000,40,25,0,30 DAY ACCOUNT,011-949 8961,011-949 8964,ANNATJIE BRITS,RUWEIDA MODRAMOOTHOO / NS
N\0021,NORTHERN SPARK TRADING 92 (PTY) LTD,1,40000,40,30,0,30 DAY ACCOUNT,082-733 8670,086-575 0958,JUAN DE BEER/GERRIT WOLFSWINKE,OELOFSE RUDI / DW
N\0022,NATAL ASSOCIATED CHEMICALS (PTY) LTD,1,900000,100,0,0,180 DAY ACCOUNT,033-386 9357,033-386 7703,MR RAFFIQ MOHAMED,HOUSE
O\0005,OSPREY TRUST T/A OSPREY,1,160000,40,27.5,0,30 DAY ACCOUNT,056 819 9334,056 819 0896,JACO PIETERSE,OELOFSE RUDI / DW
O\9999,ORDERS RECEIVED & NOT ENTERED A/C,1,50000,100,0,0,,,,,HOUSE
P\0008,PRO-WELDING ALLOYS CC,1,40000,40,25,0,30 DAY ACCOUNT,011-316 2873,011-316 4095,CHARLES FRIGYIK,OELOFSE RUDI / DW
P\0028,PAUL MARTIN ENGINEERING PTY,1,30000,70,20,0,60 DAY ACCOUNT,0118942285/60 X,011 918 2496,KIETH LILFORD,HOUSE / NS
P\0030,PROCESS AUTOMATION (PTY) LTD,1,40000,40,25,0,30 DAY ACCOUNT,011 462 0222 X,011 462 0615,IAN ILLIOT/SORAYA SAMODIEN,RUWEIDA MODRAMOOTHOO / NS
P\0050,PRO-FILE PLANT HIRE SA (PTY) LTD,1,15000,40,15,0,30 DAY ACCOUNT,016-150 0533,086 547 6399,FRANCESCO PITTELLI,HOUSE / NS
P\0053,P D NIXON CONTAINERS CC,1,300000,40,32.5,0,30 DAY ACCOUNT,011 421 9370 X,011 421 9371,ANGELA / PHILLIP NIXON,HOUSE / SP
P\0054DIY,S A STEEL MILLS (PTY) LTD,1,20000,40,40,0,30 DAY ACCOUNT,016-450 5800,086-506 9263,JAGDISH / YOUNUS / ALI,RUWEIDA MODRAMOOTHOO/RVDM/NS
P\0061,PETROL-TECH CC,1,6000,10,25,0,CASH ACCOUNT,087 944 7171,086 515 1917,MORNE JACOBS,HOUSE / NS
P\0062,PAINTERS CHOICE-MALMESBERY,1,80000,40,42.5,0,30 DAY ACCOUNT,022 486-4102/3,086 560-0002,ANGUS NEL / ALICIA / PIERRE,HOUSE / DW
P\0075,PIONNEER METALS (PTY) LTD,1,10000,10,25,0,CASH ACCOUNT,,,,RUWEIDA MODRAMOOTHOO / NS
P\0076,DROPSAIL TRADING(PTY) LTD,1,30000,40,30,0,30 DAY ACCOUNT,076-793 5356,086-616 8349,RENATO SACCHETTI,OELOFSE RUDI / DW
Q\0004,QUANTIC FIRE INDUSTRIES (PTY)  LTD,1,15000,40,30,0,30 DAY ACCOUNT,074-075 7768,086-695 5839,TESSA NELL,RUWEIDA MODRAMOOTHOO / NS
Q\9004,QUALITY POST & FENCING,1,50000,40,25,0,30 DAY ACCOUNT,056-817 6756 X,056-811 3039,EDWIN OELOFSE / PETER,OELOFSE RUDI / DW
R\0001,ROBOR (PTY) LIMITED-TUBE DIV.,1,35000,40,25,0,30 DAY ACCOUNT,011-971 1600,011-971 1880,ERIC THWALIMA/BRENDA DEYSEL,RUWEIDA MODRAMOOTHOO / NS
R\0002,ROTAR WASHLINES CC,1,10000,40,15,0,30 DAY ACCOUNT,011 828 8305,011 828 8305,NELIE NEL,OELOFSE RUDI / DW
R\0004,RAND SANDBLASTING PROJECTS (PTY) LTD,1,100000,40,32.5,0,30 DAY ACCOUNT,011 955 3505 X,011 664 7746,JAY CHETTY,HOUSE / GG / DW
R\0006,COOPER & COOPER (PTY) LTD,1,9000,40,10,0,30 DAY ACCOUNT,011 493 4355 X,011 493 0641,LEIGH PETERS,HOUSE / NS
R\0009,REEF ENG & MFG. CO (PTY)LTD,1,6000,40,15,0,30 DAY ACCOUNT,011-864 1730/5,011-864 1405,JOSEPH MOKOENA/ENGELA,HOUSE / NS
R\0014,RUSH EXHAUST PURIFICATIONS,1,10000,40,20,0,30 DAY ACCOUNT,011 660-4331,086 600-4351,RINA DE WIT,OELOFSE RUDI / DW
R\0016,GROUP 1 ENGINEERING INTERNATIONAL CONTRACTORS (PTY) LTD,1,15000,40,15,0,30 DAY ACCOUNT,011 864 2050 X,011 864 2298,JORGE PRIETO,HOUSE / DW
R\0029,RUSTY'S MINING SUPPLIES CC,1,5000,40,35,0,CASH ACCOUNT,014 594 0281/75,014 597 0077,ILANA BESTBIER/BRIAN VERMAAK,HOUSE / DW
R\0045,RESISTANT MATERIALS SERVICES (PTY) LTD,1,10000,40,25,0,30 DAY ACCOUNT,011-917 0702,011-917 0705,GERRIE VAN NIEKERK,OELOFSE RUDI / DW
R\0046,RAND WEST CITY LOCAL MUNICIPALITY,1,35000,40,0,0,30 DAY ACCOUNT,011-411 0044,011-693 1394,Mr HLARISE MAKWALA,HOUSE
R\0047,RIVER END TRADING 436 CC T/A TAU STEEL,1,20000,40,30,0,30 DAY ACCOUNT,056-811 5592,056-811 5592,CLAUDE H McINTYRE,OELOFSE RUDI/RVDM/DW
R\0048,RIVERBEND STEEL SUPPLIES CC,1,30000,40,35,0,30 DAY ACCOUNT,011-704 5155,086-675 7913,BERNADETTE TAYLOR,OELOFSE RUDI/RVDM/DW
R\0049,RIGHTWAY ENGINEERING (PTY) LIMITED,1,25000,40,30,0,30 DAY ACCOUNT,018-788 6621/2,018-788 4841,IVOR G WALDECK,RUWEIDA MODRAMOOTHOO/RVDM/NS
R\0050,RUSTIC STEEL DESIGN & ART (PTY) LTD,1,5000,10,25,0,CASH ACCOUNT,011-056 9969,086-240 6644,EVAN TSATSOULIS-CEO,HOUSE / SP
S\0001,S A BLOCK,1,10000,40,20,0,30 DAY ACCOUNT,011-439 3260X,011-439 3276,JOSHUA LUGULWANA,HOUSE / NS
S\0002,STAR RECYCLING  CO (PTY) LTD,1,25000,40,15,0,30 DAY ACCOUNT,011 864 -5130 #,011 864-5149,ROBIN STARKEY,HOUSE / DW
S\0006,SYDAN CC - SYD'S PAINT,1,380000,40,37.5,0,30 DAY ACCOUNT,011 902 3621 X,011 902 2699,Sidney / Les / Valentine,HOUSE / GG / NS
S\0013,SPOTLESS DRUMS CC,1,20000,40,37.5,0,30 DAY ACCOUNT,011 420 2416,011 420 2523,N.AVIVI / ELSABI,RUWEIDA MODRAMOOTHOO / NS
S\0021,STEEL & ALLOY CORP CC,1,70000,100,30,0,30 DAY ACCOUNT,018 462 8408 X,018 464 1274,FREDDIE/NADINE/MARISKA SMIT,HOUSE / DW
S\0025,SUNKEYS DRUM & DELIVERIES CC,1,100000,40,27.5,0,30 DAY ACCOUNT,011 762 4852 S,086 575 5859,Jacob Ramahlo,HOUSE / NS
S\0029,SCOT-RACK CC,1,10000,40,15,0,30 DAY ACCOUNT,016 423 3604 X,016 423 3604,IAN McCULLOCH,HOUSE / DW
S\0032,SHADE & HAIL NET SYSTEMS CC,1,5000,40,30,0,30 DAY ACCOUNT,016-590-9900X,086-545 8681,BERND WOLTERS,OELOFSE RUDI / DW
S\0035,STEEL JUNCTION,1,90000,40,40,0,30 DAY EXPORT A/C - NO VAT,+267 319 1429,+267 319 1428,BARUDEEN MUINUDEEN,HOUSE / NS
S\0045,SKY PAINTS & HARDWARE CC,1,50000,40,40,0,30 DAY ACCOUNT,011 474-0806/7,086 630 3736,VASSIE NAIK,OELOFSE RUDI / DW
S\0046,SAINT-GOBAIN PIPELINES SA (PTY) LIMITED,1,75000,40,30,0,30 DAY ACCOUNT,012 380 4600,012 386 7708,DAVE RATTAN,FANNIE
S\0048,SASOL MINING (PTY) LIMITED,1,1100000,70,32.5,0,C/O SASOL SHARED SERVICES,017 610 0100,011 522 5597,Anita Labuschagne / Mariaan,MH
S\0048A,SYNFUELS OPERATIONS-DIV OF,1,300000,70,32.5,0,SASOL SOUTH AFRICA (PTY) LTD,017-610 3066,011-522 8807,Mr. Gawie Roselt / Hannah,MH
S\0050,STEEL & HARDWARE WORLD CC,1,10000,40,27.5,0,30 DAY ACCOUNT,011-868 5627 X,011-868 5596,Chris Schoeman,HOUSE
S\0071,STEEL SERVICES & ALLIED IND CC,1,40000,70,27.5,0,30 DAY ACCOUNT,018-787 2059,018-787 3416,SANNIE DU PLESSIS,OELOFSE RUDI / DW
S\0079,SAYEDS INDUSTRIAL SUPPLIES LTD,1,75000,40,35,0,30 DAY ACCOUNT,018-297-0816/7,018-294 4149,NIZAMUDDIN SAYED,RUWEIDA MODRAMOOTHOO / NS
S\0083,SUPER LIFT SERVICES CC,1,10000,40,25,0,30 DAY ACCOUNT,011-908 4111,011-908 4113,FRANSIEN / LENORA,RUWEIDA MODRAMOOTHOO / NS
S\0088,SANDBLASTINGS & COATINGS-MOCAMBIQUE,1,30000,40,0,0,30 DAY EXPORT A/C - NO VAT,+258 21-724771,+258 21-724772,JAY-RAND SAND KGDP,GG / DW
S\0094,SANDBLASTING & COATINGS GHANA LTD,1,30000,40,0,0,30 DAY EXPORT A/C - NO VAT,-312322520,,,HOUSE
S\0099,SENSATIONAL SIGNS (TPY) LTD,1,5000,10,30,0,CASH ACCOUNT,011 776 9056,086-665 7953,MOBEEN JEENA,RUWEIDA MODRAMOOTHOO / NS
S\0103,SANDBLASTING & COATINGS (NAMIBIA) PTY LTD,1,70000,40,0,0,30 DAY EXPORT A/C - NO VAT,011-955 3505,011-664 7746,JAY,HOUSE
S\0104,SANDBLASTING & COATINGS BOTS (PTY) LTD,1,200000,40,0,0,30 DAY EXPORT A/C - NO VAT,,,JAY,HOUSE
S\0105,STEELMART & HARDWARE (PTY) LTD,1,300000,40,42.5,0,30 DAY ACCOUNT,011-434 5355,011-434 5327,REGO / KEEGAN,NEEL
S\9015,SUSPENSE A/C,1,1,100,0,0,PLEASE DO NOT POST,011-908-1056,,,HOUSE
